,T_source,T_shock,T_start,T_end,cat,T_source*,v_max_omni_body,v_average_omni_body,dst_min_omni_body,bx_average_omni_body,by_average_omni_body,bz_average_omni_body,temperature_omni_body
895,,,2012-02-21 21:00:00,2012-02-22 01:00:00,3,,406.0,394.7142857142857,-6.0,1.4428571428571428,-1.9714285714285715,-1.5142857142857145,21679.14285714286
896,2012-02-24 02:25:00,2012-02-26 21:39:00,2012-02-27 19:00:00,2012-02-28 16:00:00,13,,493.0,438.2916666666667,-47.0,-5.670833333333334,7.433333333333331,1.6708333333333332,33686.875
897,,2012-02-29 05:00:00,2012-02-29 05:00:00,2012-03-01 00:00:00,13,,491.0,453.6363636363636,-10.0,-3.322727272727272,3.190909090909091,2.0590909090909086,33217.318181818184
898,,2012-03-02 21:00:00,2012-03-02 21:00:00,2012-03-04 02:00:00,13,,424.0,392.21875,-32.0,1.771875,-4.734375,-1.4562499999999998,29310.34375
899,2012-03-03 18:36:00,2012-03-06 08:00:00,2012-03-06 08:00:00,2012-03-06 15:00:00,13,,385.0,377.9,-19.0,0.6600000000000003,-6.609999999999998,4.17,22746.9
900,2012-03-07 00:24:00,2012-03-08 11:03:00,2012-03-09 03:00:00,2012-03-11 07:00:00,13,,737.0,566.0909090909091,-143.0,-3.698181818181818,2.390909090909091,-4.4327272727272735,44499.63636363636
901,,2012-03-12 06:00:00,2012-03-12 22:00:00,2012-03-15 07:00:00,3,,717.0,564.8166666666667,-39.0,3.1533333333333333,-3.498333333333334,-0.6750000000000002,66252.16666666667
902,2012-03-13 17:36:00,2012-03-15 13:06:00,2012-03-15 17:00:00,2012-03-16 10:00:00,13,,787.0,705.6,-80.0,4.365,-0.28000000000000014,-1.5700000000000003,122240.75
903,,,2012-03-22 08:00:00,2012-03-23 00:00:00,3,,415.0,387.63157894736844,-19.0,0.3421052631578945,0.010526315789473694,-0.23684210526315766,19090.894736842107
904,,,2012-04-02 06:00:00,2012-04-02 14:00:00,3,,359.0,348.90909090909093,-18.0,-1.2181818181818183,-4.718181818181818,0.1454545454545455,15655.818181818182
905,,2012-04-23 03:20:00,2012-04-23 17:00:00,2012-04-24 05:00:00,13,,420.0,383.2,-104.0,1.1066666666666665,-4.319999999999999,-7.726666666666666,70011.2
906,,2012-04-25 17:00:00,2012-04-26 00:00:00,2012-04-27 18:00:00,13,,697.0,560.1777777777778,-38.0,2.5044444444444434,1.0622222222222226,-0.3955555555555555,40221.37777777778
907,,2012-05-02 23:00:00,2012-05-04 00:00:00,2012-05-05 13:00:00,3,,334.0,307.9,-8.0,-3.9050000000000002,3.7349999999999994,0.7750000000000001,21059.15
908,2012-05-12 00:00:00,2012-05-16 16:00:00,2012-05-16 16:00:00,2012-05-17 22:00:00,13,,410.0,372.1515151515151,-38.0,-1.4030303030303028,-3.542424242424243,2.9757575757575765,19826.0
909,,2012-05-31 03:00:00,2012-05-31 16:00:00,2012-06-03 10:00:00,3,,402.0,352.7391304347826,-4.0,-0.5884057971014492,2.328985507246377,0.5637681159420287,21245.898550724636
910,,2012-06-08 07:00:00,2012-06-08 10:00:00,2012-06-10 14:00:00,13,,589.0,482.45454545454544,3.0,-2.0181818181818185,-2.083636363636364,1.6654545454545464,29384.4
911,,,2012-06-11 16:00:00,2012-06-12 00:00:00,3,,422.0,413.1818181818182,-43.0,2.1545454545454543,-3.7454545454545443,-5.954545454545454,27778.363636363636
912,,2012-06-16 08:00:00,2012-06-16 22:00:00,2012-06-17 03:00:00,3,,519.0,489.625,33.0,-9.0,24.174999999999997,15.0125,71363.5
913,2012-06-14 14:12:00,2012-06-16 20:19:00,2012-06-16 23:00:00,2012-06-17 12:00:00,1,,519.0,450.0,-86.0,-4.0874999999999995,19.349999999999998,1.5874999999999988,65031.9375
914,,,2012-06-18 05:00:00,2012-06-18 18:00:00,3,,479.0,453.3125,-47.0,2.2500000000000004,0.29375000000000023,-1.85,36448.625
915,,,2012-06-24 13:00:00,2012-06-25 00:00:00,3,,372.0,363.2142857142857,13.0,-1.0714285714285714,4.3428571428571425,2.0714285714285716,28193.071428571428
916,2012-07-02 08:36:00,2012-07-04 19:00:00,2012-07-05 00:00:00,2012-07-06 08:00:00,13,,512.0,473.62857142857143,-6.0,2.865714285714285,-1.131428571428571,3.351428571428572,30164.714285714286
917,,2012-07-06 17:00:00,2012-07-07 01:00:00,2012-07-09 14:00:00,3,,494.0,435.46875,-69.0,-0.05312500000000023,-1.0390625,-1.0906249999999997,24548.046875
918,2012-07-04 17:24:00,2012-07-08 08:00:00,2012-07-09 00:00:00,2012-07-09 14:00:00,1,,440.0,413.5882352941176,-69.0,1.5411764705882354,-3.741176470588235,-8.658823529411766,15885.058823529413
919,,,2012-07-11 11:00:00,2012-07-12 02:00:00,3,,532.0,511.72222222222223,-21.0,-0.39444444444444443,4.366666666666666,0.5333333333333334,45246.666666666664
920,,,2012-07-12 16:00:00,2012-07-14 02:00:00,3,,420.0,366.02702702702703,-11.0,-3.1459459459459467,-0.40000000000000024,0.16486486486486482,15186.864864864865
